slow solver performance
n,trial,time
5,1,0.034732417
5,2,0.000935709
5,3,0.000982167
5,4,0.000986375
5,5,0.000937542
8,1,0.051414458
8,2,0.015487167
8,3,0.015229875
8,4,0.017757208
8,5,0.015202625
12,1,0.196721083
12,2,0.154364125
12,3,0.15168975
12,4,0.150938083
12,5,0.278037709
18,1,3.05321875
18,2,2.76885475
18,3,2.719132542
18,4,2.8424025
18,5,2.713528416
25,1,30.483570709
25,2,31.765491667
25,3,34.581934584
25,4,36.198879625
25,5,39.859907666
28,1,86.892812709
28,2,83.004126375
28,3,83.879872625
28,4,84.948256208
28,5,85.287702458
30,1,178.099740875
30,2,139.308656417
30,3,140.323813583
30,4,152.531570167
30,5,136.83327525

fast solver performance
n,trial,time
5,1,0.027829708
5,2,0.002339375
5,3,0.00161675
5,4,0.0015175
5,5,0.00464325
8,1,0.097196791
8,2,0.005712625
8,3,0.005447958
8,4,0.007201667
8,5,0.00494
12,1,0.016376834
12,2,0.016425833
12,3,0.017281292
12,4,0.016739
12,5,0.020991458
18,1,0.156778833
18,2,0.087858167
18,3,0.090077666
18,4,0.088368375
18,5,0.092699875
25,1,0.228141958
25,2,0.206456375
25,3,0.200937167
25,4,0.202568458
25,5,0.202900209
28,1,0.418217583
28,2,0.345590708
28,3,0.345646458
28,4,0.343809208
28,5,0.347044083
30,1,0.391645667
30,2,0.385786041
30,3,0.380564666
30,4,0.382501417
30,5,0.382589709
35,1,0.763117083
35,2,0.826600333
35,3,0.843000583
35,4,0.818783625
35,5,0.844801709
50,1,3.452112667
50,2,3.343820334
50,3,4.506119
50,4,3.953119
50,5,3.580905416
70,1,14.3146695
70,2,14.768280792
70,3,13.34473525
70,4,13.486682583
70,5,13.655104
100,1,59.392593083
100,2,57.099219667
100,3,56.914210625
100,4,56.391388209
100,5,56.562043167
120,1,97.918928708
120,2,107.616265208
120,3,101.429602875
120,4,97.80616775
120,5,98.455293292
140,1,209.895096417
140,2,209.174855166
140,3,210.673649375
140,4,225.968932833
140,5,231.64169925
