slow solver performance
n,trial,time
5,1,0.047009167
5,2,0.001510375
5,3,0.001749083
5,4,0.001234292
5,5,0.001149709
8,1,0.053760542
8,2,0.014435166
8,3,0.016189125
8,4,0.01234175
8,5,0.015360833
12,1,0.229343208
12,2,0.209016417
12,3,0.211556791
12,4,0.325607958
12,5,0.246497875
18,1,3.537563292
18,2,3.251984333
18,3,3.397377667
18,4,3.751141875
18,5,3.432322083

fast solver performance
n,trial,time
5,1,0.022027666
5,2,0.000741709
5,3,0.00086375
5,4,0.000695125
5,5,0.000618791
8,1,0.019924333
8,2,0.001081334
8,3,0.001846834
8,4,0.001567375
8,5,0.003037708
12,1,0.038168166
12,2,0.00289175
12,3,0.001528417
12,4,0.005904083
12,5,0.0022035
18,1,0.034438292
18,2,0.00487
18,3,0.006479959
18,4,0.007120875
18,5,0.013048292
25,1,0.134712791
25,2,0.00737925
25,3,0.010675791
25,4,0.008750583
25,5,0.0071995
35,1,0.060762666
35,2,0.0219785
35,3,0.015731125
35,4,0.022081542
35,5,0.024590834
50,1,0.091609542
50,2,0.039073333
50,3,0.045099458
50,4,0.037356917
50,5,0.038463333
70,1,0.158726
70,2,0.121424583
70,3,0.117307875
70,4,0.132841083
70,5,0.136877208
