baseline
n,trial,time
8,1,0.012052583
8,2,0.010776792
8,3,0.010817917
8,4,0.015216708
8,5,0.010745875
10,1,0.065116042
10,2,0.027459667
10,3,0.025760708
10,4,0.026019625
10,5,0.026244584
12,1,0.202013
12,2,0.139333458
12,3,0.147165875
12,4,0.138055708
12,5,0.175418
15,1,0.710617916
15,2,0.638353333
15,3,0.620662791
15,4,1.065294541
15,5,0.993848416
20,1,5.9644745
20,2,6.530943083
20,3,6.376868792
20,4,6.459483041
20,5,6.111286875
25,1,27.997310916
25,2,30.213854791
25,3,29.363202041
25,4,26.369512625
25,5,27.638316542
28,1,78.691142291
28,2,62.305575625
28,3,71.190735166
28,4,84.023640917
28,5,76.603079333
31,1,173.132380166
31,2,152.732957833
31,3,143.200632416
31,4,186.565480333
31,5,210.333238792
33,2,526.18572275
33,3,415.491624125
33,4,438.219891209
33,5,393.485799708

OpenDleto
n,trial,time
8,1,0.034908458
8,2,0.011366
8,3,0.010867125
8,4,0.011470208
8,5,0.011580291
10,1,0.0684875
10,2,0.024605125
10,3,0.0262405
10,4,0.025478333
10,5,0.027493541
12,1,0.10632975
12,2,0.048883709
12,3,0.048232
12,4,0.046784708
12,5,0.046722125
15,1,0.165478625
15,2,0.114843541
15,3,0.112344417
15,4,0.113581959
15,5,0.110579667
20,1,0.41198775
20,2,0.343403375
20,3,0.344072583
20,4,0.337755708
20,5,0.336150084
25,1,1.402480834
25,2,1.215874167
25,3,1.259309666
25,4,1.269333958
25,5,1.222599833
30,1,4.269744375
30,2,4.204084208
30,3,4.320777125
30,4,4.224636084
30,5,4.021247959
35,1,8.92041675
35,2,12.562640833
35,3,11.394131208
35,4,8.630105333
35,5,8.319502791
40,1,15.358601958
40,2,15.4709325
40,3,15.413678625
40,4,15.130067667
40,5,15.572750334
45,1,28.242238583
45,2,28.510222
45,3,28.361092625
45,4,28.008063042
45,5,27.849557417
50,1,48.356075583
50,2,51.892874167
50,3,47.304702958
50,4,47.145730583
50,5,51.336271792
55,1,80.342917792
55,2,90.811617
55,3,90.237728417
55,4,94.663699333
55,5,93.372515166
60,1,133.618049916
60,2,158.122612458
60,3,161.311046375
60,4,148.017556125
60,5,145.841408583
65,1,217.852910542
65,2,215.35557225
65,3,246.028413792
65,4,238.729593791
65,5,205.435292542
68,1,260.35983875
68,2,253.742963917
68,3,258.315189666
68,4,253.634490917
68,5,257.526725083

solve-and-lift
n,trial,time
8,1,0.006196416
8,2,0.001198166
8,3,0.001222416
8,4,0.001176458
8,5,0.001223583
10,1,0.027813834
10,2,0.001689167
10,3,0.001678042
10,4,0.001614083
10,5,0.002766583
12,1,0.027527041
12,2,0.002256541
12,3,0.002321042
12,4,0.002240625
12,5,0.002109875
15,1,0.032768958
15,2,0.005754917
15,3,0.006250167
15,4,0.003432542
15,5,0.003531083
20,1,0.047840125
20,2,0.008512291
20,3,0.007919167
20,4,0.00765425
20,5,0.007853584
25,1,0.059026916
25,2,0.015540417
25,3,0.016032
25,4,0.016339833
25,5,0.015053917
30,1,0.147054833
30,2,0.049619792
30,3,0.071444208
30,4,0.041094375
30,5,0.029875916
35,1,0.104621708
35,2,0.054448209
35,3,0.050083667
35,4,0.053479917
35,5,0.048871209
40,1,0.135602375
40,2,0.08982875
40,3,0.087481791
40,4,0.086693916
40,5,0.088516792
45,1,0.182318625
45,2,0.13182225
45,3,0.135173
45,4,0.13747875
45,5,0.137081709
50,1,0.236095459
50,2,0.200339667
50,3,0.196342209
50,4,0.195608375
50,5,0.197873542
55,1,0.340060875
55,2,0.291222458
55,3,0.292175167
55,4,0.288553917
55,5,0.287570417
60,1,0.441613
60,2,0.39272225
60,3,0.389666791
60,4,0.391215541
60,5,0.391397125
65,1,0.665477
65,2,0.655983417
65,3,0.651931208
65,4,0.655429541
65,5,0.662553833
68,1,0.701399875
68,2,0.6484925
68,3,0.651262416
68,4,0.63414525
68,5,0.643749125
90,1,2.420691167
90,2,2.350669917
90,3,2.6017415
90,4,2.4383715
90,5,2.3157035
115,1,5.1700655
115,2,4.752409375
115,3,4.655524084
115,4,5.82524325
115,5,5.690445792
140,1,11.775657042
140,2,12.813914583
140,3,11.785316
140,4,13.745505208
140,5,12.38123125
165,1,23.562658208
165,2,24.615908042
165,3,25.787036958
165,4,25.677983459
165,5,26.070909834
190,1,43.525944625
190,2,38.945845083
190,3,40.786095667
190,4,40.122556125
190,5,42.178610291
215,1,61.022883708
215,2,62.509982
215,3,68.422755333
215,4,65.729069292
215,5,55.142737667
240,1,88.179184833
240,2,101.408347792
240,3,89.946062209
240,4,96.496307
240,5,88.555376917
265,1,195.000613417
265,2,187.340137541
265,3,200.896808333
265,4,189.805481084
265,5,198.050814458
290,1,355.826055125
290,2,355.825579542
290,3,228.94776775
290,4,362.230477
290,5,298.200420958
315,1,389.400682334
315,2,424.562472959
315,3,369.994878667
315,4,358.396189917
315,5,323.852027792
